Subject,Comp1_coupling,Comp2_coupling,Comp3_coupling,Comp4_coupling
144832,0.71745380291845,0.3981544197591128,0.3256508142741198,0.10836930172804374
930449,0.32368080624962825,0.020279762016002276,1.0191435943031255,0.5413927761609371
192136,0.6971063067814254,0.2874043100476504,0.5507343677283894,0.10259135275296025
129634,0.3447253915311304,0.41942666304937604,0.5881315000938929,0.34426190111073196
456346,0.7346243994197226,0.353753594751914,0.4887387756841633,0.1617127147999694
175338,0.36330318262883643,0.4138903757429081,0.5047986722224446,0.4703965941009935
201414,0.42120458629189794,0.1534349684905596,0.6690536654967866,0.48641339861442384
117728,0.5264707942490154,0.15969378489754676,0.3391126303757592,0.700907285255246
694362,0.6065767108459688,0.4180184430960257,0.2529390007788693,0.3065460888562231
201717,0.6707370920048931,0.3520131517601732,0.29485498520122416,0.2249628690230822
107422,0.681728520540971,0.22803668789065204,0.3489595254647114,0.3758386746816135
970764,0.4334613390616746,0.5390849105782728,0.2150377393954422,0.2805802200067343
101107,0.4193938677568088,0.2340607189868599,0.5147521580804884,0.5730154646885491
886674,0.37269464584362066,0.5468327439169266,0.5054248445424709,0.21045826502958567
118831,0.5646433449237638,0.4510557461878855,0.5516681242861917,0.007551005212936915
108020,0.4009923853947674,0.38495596923134245,0.7448113002497992,0.18445239670550467
618952,0.566196868343378,0.1559131323831638,0.7735540835806102,0.21536707073336533
667056,0.5884158599144299,0.3638431251041947,0.39689029911954715,0.2860226379317709
812746,0.35536191994945937,0.20074332804008638,0.6425391778597637,0.5973486725936933
867468,0.6080596614782224,0.34162780481328126,0.4774700657312098,0.2652780593564362
952863,0.2860331680736918,0.0788844924099154,1.0446946749045465,0.5586113143622811
148840,0.7164960278197725,0.3022548241850412,0.0,0.5326795018753466
132017,0.5780008653555506,0.21256103393554102,0.3076378977230856,0.5911150832184114
657659,0.46809644522783783,0.4844144641686436,0.268906527420312,0.39288912784748065
524135,0.7410503587352885,0.31294834505124114,0.3545452217047696,0.30399919731570263
154229,0.6283048269977634,0.37940481581693813,0.2506752073624369,0.276342762039967
138837,0.37178963531572307,0.22956129348272514,0.8056589551461394,0.5211280672773546
145127,0.46231241486876395,0.4022463583074646,0.3561851225124611,0.40950045240978505
548250,0.4372277411893862,0.46969751702826423,0.47997092200809416,0.22322398904998952
561444,0.6057903884957472,0.14011952874411032,0.4575531888176326,0.5403823013130236
173637,0.5106824341776454,0.34198425794257337,0.38403395918313427,0.27498911570576073
200917,0.3711619173401356,0.2141088783234494,0.7435325672923356,0.48556159717842073
199453,0.34942778779366807,0.2554871906366296,0.5854005163824357,0.4847760202983904
214726,0.5805185014965717,0.40439904523249814,0.3377384028991592,0.27135183062951956
237334,0.6943585432983008,0.4712482993968069,0.06569362465623084,0.35311258090131764
581450,0.5258651891237678,0.39537246403820536,0.4192221017048069,0.39593751160867396
202719,0.8410791934837155,0.4207221510459195,0.08545223281655455,0.10541699323047453
172534,0.4501383937982842,0.24120583218248562,0.6668078857227214,0.3524698592597241
550439,0.4118772720936235,0.41956574727267126,0.7181056065516468,0.20095238204518093
115825,0.6902657562295481,0.372551132521831,0.446146065491144,0.07248866170287922
877269,0.6633378213564163,0.17746936600195815,0.5166790812037494,0.2427016754560464
123824,0.46322125081682725,0.3010947984911359,0.5747319661438799,0.29316731469448076
127327,0.3091772096086075,0.5120960443733635,0.41563827676805454,0.3337840329022741
622236,0.49450906310049103,0.44661450088899385,0.441834999384894,0.2223791727380466
102614,0.4118311348122713,0.5436223248896082,0.4609881885522028,0.23627128822374163
153833,0.520904454245478,0.202191832558556,0.36781698511831595,0.6337846564852192
590047,0.4682676116453402,0.4019366482291646,0.39665940477417716,0.45657913432995084
137633,0.8041630720832974,0.4829263140419498,0.06031524641691419,0.10914824167554112
178849,0.6435673585712037,0.3132219162203099,0.30772022039345864,0.35818415113162194
191235,0.5477404281006476,0.37501136972640875,0.3263528551677787,0.43732393772351685
