PicSeq_AgeAdj,CardSort_AgeAdj,Flanker_AgeAdj,PMAT24_A_CR,PMAT24_A_SI,PMAT24_A_RTCR,ReadEng_AgeAdj,PicVocab_AgeAdj,ProcSpeed_AgeAdj,DDisc_AUC_200,DDisc_AUC_40K,VSPLOT_TC,VSPLOT_CRTE,VSPLOT_OFF,SCPT_SEN,SCPT_SPEC,IWRD_TOT,IWRD_RTC,ListSort_AgeAdj
118.78,119.65,113.48,19.0,0.0,12340.0,121.835,107.965,136.71,0.2770198,0.44648459999999995,16.0,1023.23865,16.0,0.9833,0.95,36.0,1362.5,108.26
112.44,103.93,110.13,12.0,7.0,8465.0,90.27486,114.5555,130.65,0.96178544,0.9617190000000001,14.0,1782.0865,19.0,0.9333,0.95,35.0,1450.25,108.26
130.24,95.37,95.84,22.0,0.0,16841.5,97.66,109.57,102.77,0.27767083,0.23528667,16.0,969.1667,17.0,0.9,0.95,36.0,1552.5,108.26
80.08,98.78,89.55,10.0,9.0,3690.0,103.0397,92.81129,108.74,0.09707188,0.3684898,17.0,921.0,16.0,0.9333,0.95,29.0,1307.5,80.7
95.27,82.65,101.52,9.0,10.0,7340.0,78.13371,69.59044,66.72,0.056577083,0.13398458,11.0,980.0,32.0,0.9667,0.8833,38.0,1345.0,94.33
81.77,99.91,94.78,15.0,4.0,29570.0,87.74,86.19,97.53,0.12715,0.13710958,20.0,1398.6923,23.0,1.0,0.9417,38.0,2122.5,80.7
80.08,86.98,87.72,8.0,11.0,5390.0,74.97115,68.6812,90.9,0.09759271,0.079166874,5.0,898.1,85.0,0.8667,0.9583,34.0,1250.0,89.14
107.36,106.42,105.01,23.0,0.0,15980.0,122.169,115.1126,129.22,0.29082188,0.7703127,26.0,1244.4886,5.0,0.95,0.9333,35.0,1415.0,98.44
95.75,100.48,105.49,12.0,7.0,6594.5,113.4444,108.3791,106.9,0.03743646,0.122135624,8.0,984.0179,34.0,0.95,0.9583,31.0,1690.0,94.33
130.24,110.24,112.7,18.0,1.0,13084.0,92.45191,107.1083,143.56,0.59368646,0.9609377,17.0,714.8333,16.0,0.9833,0.9667,38.0,1320.0,108.26
101.07,102.25,102.12,21.0,0.0,17610.0,89.08700999999999,98.4372,101.27,0.27285314,0.8313804,10.0,923.4861,28.0,0.85,0.9833,40.0,1460.0,118.14
90.71,101.46,111.11,19.0,0.0,21200.0,119.5051,120.2185,80.54,0.26959792,0.9545575000000001,21.0,819.1667,10.0,0.9667,0.925,37.0,1217.5,89.14
108.85,92.93,93.62,13.0,6.0,5100.0,108.8717,101.4653,97.87,0.18834792,0.09453146,17.0,980.0,20.0,0.9667,0.9583,38.0,1467.5,103.57
89.97,104.4,117.39,21.0,0.0,15329.0,102.7752,114.7164,106.9,0.11699375,0.44869813,15.0,1004.875,19.0,0.9333,0.9,36.0,1535.0,98.44
91.63,103.42,110.41,19.0,0.0,20470.0,104.0187,107.7477,127.45,0.28079584,0.2734377,12.0,1541.0910000000001,26.0,0.9167,0.975,36.0,1335.0,98.44
110.97,110.35,119.3,23.0,0.0,33720.0,109.4565,124.8249,118.18,0.2005875,0.5507814,22.0,1108.6714,10.0,1.0,0.8667,40.0,1310.0,118.14
112.44,100.01,94.13,16.0,3.0,12775.0,116.2613,101.6183,85.5,0.11061354,0.37148458,18.0,1482.1428,17.0,0.9333,0.925,33.0,2277.5,98.44
121.69,118.41,106.76,18.0,1.0,15240.0,119.02,102.57,116.21,0.4720719,0.62734395,19.0,1475.5555,12.0,1.0,0.975,33.0,2112.5,98.44
110.97,112.04,112.77,17.0,2.0,9560.0,116.85,120.53,97.78,0.20931146,0.73671895,14.0,1223.5,19.0,0.9333,0.9333,38.0,1395.0,103.57
104.06,117.72,97.73,21.0,0.0,11440.0,133.9231,145.006,104.97,0.34798333,0.5296877,16.0,1035.0,21.0,0.95,0.9333,36.0,1552.5,94.33
82.43,109.73,96.35,15.0,4.0,12330.0,108.88,111.48,89.5,0.04603021,0.097135626,18.0,1362.3254,18.0,0.9833,0.9,37.0,1652.75,108.26
82.43,96.21,88.2,8.0,11.0,4860.0,64.56,90.3,62.24,0.015691666,0.21145855,13.0,1070.8182,28.0,0.9167,0.9333,26.0,1555.0,85.26
118.72,111.35,110.62,13.0,6.0,8650.0,98.63144,97.67724,136.87,0.24863437,0.9046877000000001,17.0,1194.2858,19.0,0.9333,0.975,39.0,1372.5,127.41
84.16,87.67,100.58,24.0,0.0,32027.0,119.31,125.96,84.26,0.6763688,0.84921896,15.0,1300.0,16.0,0.9,0.8833,30.0,1665.0,108.26
92.22,108.38,99.88,20.0,0.0,14420.0,115.595,104.7822,118.18,0.09446771,0.11328146,24.0,1458.9615,6.0,0.9333,0.9667,34.0,1800.0,123.73
